client_id,client_name,contracted_members,active_members,segment,go_live_date,status
2001,Client 1,26654,25048,employer,2022-11-15,active
2002,Client 2,18795,17726,employer,2022-10-26,active
2003,Client 3,3860,3519,employer,2024-10-29,implementation
2004,Client 4,8390,6803,provider,2025-02-04,implementation
2005,Client 5,24575,18911,health_plan,2024-06-10,active
2006,Client 6,14964,13270,provider,2024-02-11,active
2007,Client 7,14284,11970,health_plan,2022-03-18,terminated
2008,Client 8,25118,19451,employer,2022-07-18,active
2009,Client 9,9265,7866,provider,2024-07-15,active
2010,Client 10,19850,15024,provider,2024-11-10,implementation
2011,Client 11,7426,6920,health_plan,2024-11-11,active
2012,Client 12,24962,20013,provider,2024-02-11,implementation
2013,Client 13,17423,15375,health_plan,2023-08-10,active
2014,Client 14,14363,11667,health_plan,2024-01-10,active
2015,Client 15,19023,16245,health_plan,2022-11-30,active
2016,Client 16,11322,9729,employer,2021-04-23,active
2017,Client 17,4685,3686,employer,2021-01-02,active
2018,Client 18,3769,3557,employer,2022-10-04,terminated
2019,Client 19,29967,27120,health_plan,2021-08-08,active
2020,Client 20,26333,24697,employer,2023-05-05,active
2021,Client 21,5433,5047,health_plan,2024-06-02,terminated
2022,Client 22,8311,7227,government,2022-01-20,terminated
2023,Client 23,8051,7522,employer,2024-11-27,active
2024,Client 24,9420,7231,health_plan,2024-02-28,implementation
2025,Client 25,20568,16232,provider,2023-12-13,active
2026,Client 26,23939,18170,employer,2022-12-31,active
2027,Client 27,22769,18558,employer,2024-12-10,implementation
2028,Client 28,9396,7777,employer,2021-09-04,implementation
2029,Client 29,11666,9382,employer,2023-04-16,implementation
2030,Client 30,28658,26243,government,2025-01-02,active
2031,Client 31,21942,18022,provider,2021-07-22,implementation
2032,Client 32,27233,21954,health_plan,2024-04-22,implementation
2033,Client 33,21431,18399,provider,2021-05-03,terminated
2034,Client 34,5747,4472,provider,2022-02-05,implementation
2035,Client 35,28551,25993,employer,2023-02-06,active
2036,Client 36,29382,22474,provider,2021-10-21,active
2037,Client 37,3189,3021,health_plan,2021-10-07,active
2038,Client 38,22118,20004,provider,2023-06-03,terminated
2039,Client 39,6005,4742,provider,2021-07-17,terminated
2040,Client 40,24042,18058,employer,2023-09-09,active
2041,Client 41,4899,4473,employer,2023-01-22,active
2042,Client 42,27118,24172,employer,2021-05-24,active
2043,Client 43,4267,3822,health_plan,2022-09-01,active
2044,Client 44,20912,18909,provider,2024-05-09,terminated
2045,Client 45,14394,11008,provider,2024-02-22,active
2046,Client 46,6556,5387,employer,2021-07-06,active
2047,Client 47,6890,5327,health_plan,2024-09-11,active
2048,Client 48,11838,10921,health_plan,2022-04-09,active
2049,Client 49,17502,15308,employer,2024-10-04,active
2050,Client 50,24777,20222,employer,2022-10-22,implementation
