ticket_id,patient_id,created_date,response_time_hours,resolved,issue_type,priority,channel,resolved_date,first_contact_resolution
80001,10957,2025-01-24,2.9,no,app,high,email,,no
80002,13275,2022-09-12,12.4,yes,device,medium,app,2022-09-12,no
80003,12132,2023-12-11,3.1,yes,app,medium,app,2023-12-12,no
80004,11312,2021-02-07,4.4,yes,claims,medium,phone,2021-02-09,no
80005,11592,2022-03-31,5.6,yes,medication,urgent,phone,2022-04-01,no
80006,13031,2023-04-23,5.4,yes,medication,low,phone,2023-04-25,no
80007,11858,2021-08-25,12.7,no,scheduling,low,app,,no
80008,13693,2022-11-15,4.2,yes,medication,medium,email,2022-11-15,no
80009,14931,2023-12-10,4.9,yes,scheduling,medium,web,2023-12-10,no
80010,10481,2023-05-09,16.9,yes,claims,low,phone,2023-05-10,no
80011,13205,2023-08-31,11.9,yes,other,low,app,2023-09-01,no
80012,14120,2024-08-26,7.5,yes,claims,low,phone,2024-08-28,no
80013,13870,2023-03-19,19.8,yes,device,medium,web,2023-03-19,no
80014,11331,2022-05-31,0.7,no,medication,high,web,,no
80015,14168,2023-03-27,3.4,yes,app,high,web,2023-03-28,no
80016,14526,2023-07-09,10.7,yes,other,low,email,2023-07-11,no
80017,13697,2022-03-18,1.5,yes,scheduling,low,app,2022-03-18,yes
80018,14836,2021-11-22,3.9,yes,claims,low,phone,2021-11-23,no
80019,12261,2022-09-16,12.2,yes,claims,medium,app,2022-09-17,no
80020,12000,2021-03-13,3.5,yes,other,low,phone,2021-03-15,no
80021,12806,2024-05-17,1.6,yes,claims,high,phone,2024-05-18,no
80022,14158,2022-12-04,5.6,yes,claims,medium,web,2022-12-05,no
80023,11623,2023-12-30,4.3,yes,other,urgent,email,2023-12-30,no
80024,10677,2022-08-28,3.6,yes,app,low,app,2022-08-30,no
80025,12394,2021-02-06,10.8,no,device,medium,app,,no
80026,13565,2024-06-23,4.0,no,medication,high,phone,,no
80027,12648,2022-10-17,8.4,yes,medication,low,phone,2022-10-18,no
80028,12173,2024-02-29,5.2,no,medication,medium,email,,no
80029,11207,2023-07-28,5.9,yes,medication,high,phone,2023-07-29,no
80030,10506,2024-01-04,2.2,yes,app,medium,email,2024-01-06,no
80031,12507,2022-07-27,4.8,yes,other,medium,phone,2022-07-27,no
80032,11017,2021-10-20,16.3,yes,app,medium,web,2021-10-22,no
80033,11755,2021-11-12,5.8,yes,medication,medium,email,2021-11-12,no
80034,13438,2021-09-03,3.9,no,scheduling,medium,app,,no
80035,13191,2021-01-20,6.1,yes,claims,low,email,2021-01-21,no
80036,11302,2024-08-22,1.1,yes,medication,low,web,2024-08-23,no
